Date,Province_Median_Price,Province_Average_Time,Montreal_Median_Price,Montreal_Average_Time
2014-01-01,210000,135,220000,124
2014-02-01,212000,128,225000,117
2014-03-01,210000,130,225000,118
2014-04-01,214000,120,225000,113
2014-05-01,215000,125,226287,115
2014-06-01,220000,129,234525,122
2014-07-01,223000,130,235000,128
2014-08-01,214000,139,230150,128
2014-09-01,220000,134,234000,121
2014-10-01,221000,136,249000,119
2014-11-01,218000,132,230750,120
2014-12-01,215000,134,235000,129
2015-01-01,214000,134,230485,129
2015-02-01,212000,139,230000,125
2015-03-01,218500,132,235000,120
2015-04-01,215000,130,231950,123
2015-05-01,224900,127,239000,122
2015-06-01,224500,142,240000,118
2015-07-01,225000,127,245000,119
2015-08-01,223950,150,240000,133
2015-09-01,230000,138,248000,130
2015-10-01,222250,140,240000,130
2015-11-01,224000,140,239000,134
2015-12-01,224000,143,240000,125
2016-01-01,215000,155,238000,136
2016-02-01,211000,128,226000,114
2016-03-01,215312,129,231600,115
2016-04-01,220000,130,235000,117
2016-05-01,222000,123,240000,114
2016-06-01,228000,143,245000,129
2016-07-01,226274,137,250000,117
2016-08-01,232000,130,250000,117
2016-09-01,230000,147,250000,134
2016-10-01,228964,134,245000,120
2016-11-01,231700,142,248000,126
2016-12-01,225000,137,245000,125
2017-01-01,220000,138,240000,121
2017-02-01,221000,131,238900,112
2017-03-01,225000,126,243232,115
2017-04-01,225000,122,240000,109
2017-05-01,228930,121,243000,107
2017-06-01,235100,123,257500,111
2017-07-01,234000,123,256000,110
2017-08-01,235000,118,251500,110
2017-09-01,231371,129,253000,112
2017-10-01,236000,119,255000,103
2017-11-01,232000,119,254510,105
2017-12-01,245000,122,265000,111
2018-01-01,225750,127,244750,116
2018-02-01,233000,112,250000,100
2018-03-01,226000,111,240000,97
2018-04-01,228000,107,245350,94
2018-05-01,238000,113,257000,97
2018-06-01,245000,105,256000,93
2018-07-01,238000,115,265000,98
2018-08-01,246000,103,265000,88
2018-09-01,245000,113,263000,98
2018-10-01,246000,103,265000,88
2018-11-01,243000,108,264900,94
2018-12-01,250000,110,272863,93
2019-01-01,230000,109,248271,95
2019-02-01,235000,105,250000,92
2019-03-01,229500,94,248000,78
2019-04-01,240000,96,260000,79
2019-05-01,239000,93,261000,77
2019-06-01,242780,91,261000,76
2019-07-01,250000,87,278600,71
2019-08-01,251584,94,279000,79
2019-09-01,262000,93,290000,76
2019-10-01,255000,84,280000,69
2019-11-01,269000,84,290000,70
2019-12-01,255000,92,285000,76
2020-01-01,246250,97,275000,74
2020-02-01,250000,77,275000,61
2020-03-01,253000,70,287000,52
2020-04-01,185000,149,289900,53
2020-05-01,243750,90,280000,64
2020-06-01,269999,68,305000,49
2020-07-01,278000,62,312000,41
2020-08-01,283000,59,312000,41
2020-09-01,286000,66,318000,45
2020-10-01,290000,58,323500,42
2020-11-01,287500,60,316000,44
2020-12-01,290000,60,325000,40
2021-01-01,290000,67,322000,53
2021-02-01,300000,60,340000,48
2021-03-01,315000,54,347065,44
2021-04-01,330000,53,357750,42
2021-05-01,339000,49,365000,41
